text_content,font_size,font_name,is_bold,is_italic,is_all_caps,x_coordinate,y_coordinate,width,height,page_number,line_spacing,indentation_level,ends_with_colon,contains_numbering_bullets,is_first_line_on_page,distance_to_previous_line,distance_to_next_line,label,heading_score
9. Financial and Administrative Policies,12,Arial-BoldMT,True,False,False,90.04371643,638.1018372,187.9789124,14.18304443,13,23.42591858,0,False,True,False,23.42591858,22.64903259,H3,6
9.1,12,ArialMT,False,False,False,95.81056213,615.4528046,13.05563354,13.56552124,13,22.64903259,1,False,False,False,22.64903259,0,para,2
Conflict of Interest:,12,ArialMT,False,False,False,108.8899078,581.0011597,83.14483643,13.56552124,13,0,3,True,False,False,0,57.49908447,para,2
Appendix C: ODL’s Envisioned Electronic Resources,12,Arial-Black,True,False,False,96.04060364,682.595993,344.0062256,16.68000793,14,85.72805786,0,False,False,True,0,85.72805786,H2,5
Reference Resources,12,ArialMT,False,False,False,106.3610535,573.8304596,94.46417236,13.56552124,14,0,1,False,False,False,0,34.44168091,para,2
"directories: companies, associations, organizations, governments, educational institutions, etc. etc.",12,ArialMT,False,False,False,96.04040527,539.3887787,383.9164276,24.96972656,14,34.44168091,0,False,False,False,34.44168091,11.52371216,para,2
indexing and abstracting services,12,ArialMT,False,False,False,101.6678009,435.7948151,141.9861298,13.56552124,14,11.52372742,0,False,False,False,11.52372742,11.52371216,para,2
virtual reference services,12,ArialMT,False,False,False,101.6678009,412.8668976,107.0967255,13.56552124,14,11.40420532,0,False,False,False,11.40420532,11.52371216,para,2
current awareness services,12,ArialMT,False,False,False,99.15788269,378.2957458,117.6257935,13.56552124,14,11.52371216,0,False,False,False,11.52371216,23.03749084,para,2
Subject Guides,12,ArialMT,False,False,False,106.3549652,355.258255,66.78952026,13.56552124,14,0,1,False,False,False,0,22.91795349,para,2
arts and humanities,12,ArialMT,False,False,False,99.15788269,332.3403015,84.88560486,13.56552124,14,22.91795349,0,False,False,False,22.91795349,11.52372742,para,2
social sciences,12,ArialMT,False,False,False,99.15788269,251.7937775,65.90821838,13.56552124,14,11.52372742,0,False,False,False,11.52372742,11.52371216,para,2
"guides to information gathering methodologies, information literacy",12,ArialMT,False,False,False,99.15788269,194.314621,280.4760742,13.56552124,14,23.03747559,0,False,False,False,23.03747559,11.52372742,para,2
study guides,12,ArialMT,False,False,False,99.15788269,182.7908936,55.48670959,13.56552124,14,11.52372742,0,False,False,False,11.52372742,11.52371216,para,2
study skill development,12,ArialMT,False,False,False,99.15788269,171.2671814,100.0863342,13.56552124,14,11.52371216,0,False,False,False,11.52371216,11.52372742,para,2
web-based curricula,12,ArialMT,False,False,False,99.15788269,159.743454,87.10766602,13.56552124,14,11.52372742,0,False,False,False,11.52372742,11.40419006,para,2
"Journals, books, maps, music etc.",12,ArialMT,False,False,False,106.3549652,125.3017731,144.9762268,13.56552124,14,0,1,False,False,False,0,0,para,2
Parsippany -Troy Hills STEM Pathways,12,MUFUZY+Calibri-Bold,True,False,False,125.820694,727.5194244,443.3259735,31.25604248,1,98.33551025,23,False,False,True,0,98.33551025,title,4
Goals:,12,MUFUZY+Sniglet-Regular,False,False,False,45.11529541,592.0268097,40.79299927,17.57594299,1,37.15710449,7,True,False,False,37.15710449,49.45974731,H1,4
Promote interactions with STEM professionals to learn about future opportunities.,12,MUFUZY+Calibri,False,False,False,45.41261292,475.0098267,288.6893005,25.75691223,1,27.02288818,7,False,False,False,27.02288818,27.02290344,para,2
PATHWAY OPTIONS,12,MUFUZY+Sniglet-Regular,False,False,True,239.8661957,334.8973694,129.4128876,19.17854309,1,45.53230286,45,False,False,False,45.53230286,25.47219849,H1,3
REGULAR PATHWAY,12,MUFUZY+Calibri-Bold,True,False,True,117.1802979,309.4251709,128.7434692,17.08618164,1,25.47219849,21,False,False,False,25.47219849,0,H2,5
DISTINCTION PATHWAY,12,MUFUZY+Calibri-Bold,True,False,True,351.722702,309.4251709,151.601593,17.08618164,1,0,66,False,False,False,0,27.61585999,H2,4
4 credits of Math - At least one math course should be an AP Math class.,12,MUFUZY+ArialMT,False,False,False,345.431427,281.8093109,179.0936737,28.13542175,1,27.61585999,65,False,False,False,27.61585999,4.504974365,para,3
4 credits of Math,12,MUFUZY+ArialMT,False,False,False,99.43862915,277.3043365,84.05403137,14.62910461,1,4.504974365,18,False,False,False,4.504974365,13.50631714,para,3
4 credits of Science,12,MUFUZY+ArialMT,False,False,False,99.43862915,263.7980194,98.73817444,14.62908936,1,13.50631714,18,False,False,False,13.50631714,13.5063324,para,3
4 credits of STEM-designated electives,12,MUFUZY+ArialMT,False,False,False,99.43862915,250.291687,193.502594,14.62910461,1,13.5063324,18,False,False,False,13.5063324,9.001342773,para,3
4 credits of Science- At least one science course should be an AP Science class.,12,MUFUZY+ArialMT,False,False,False,345.431427,241.2903442,163.2206268,41.64173889,1,9.001342773,65,False,False,False,9.001342773,4.504989624,para,2
4 credits of STEM-designated electives,12,MUFUZY+ArialMT,False,False,False,345.431427,227.7840118,193.7998352,14.62910461,1,9.001342773,65,False,False,False,9.001342773,27.01264954,para,3
One must be a Computer Science/Technology Class,12,MUFUZY+ArialMT,False,False,False,345.431427,200.7713623,133.2690277,28.13542175,1,27.01264954,65,False,False,False,27.01264954,13.5063324,para,2
Join and actively participate in a STEM-related extracurricular activity or club every year of attendance. -,12,MUFUZY+ArialMT,False,False,False,99.43862915,128.7347565,193.1614075,41.64175415,1,39.94657898,18,False,False,False,39.94657898,9.001342773,para,2
Join and actively participate in a STEM-related extracurricular activity or club every year of attendance.,12,MUFUZY+ArialMT,False,False,False,345.431427,79.21443176,193.1614075,41.64175415,1,40.51898193,65,False,False,False,40.51898193,40.51896667,para,2
Either participate in an internship or design and implement a community impact project.,12,MUFUZY+ArialMT,False,False,False,345.431427,38.69546509,176.1105042,41.64173889,1,40.51896667,65,False,False,False,40.51896667,0,para,2
DATE: ---------------,12,*Times New Roman-1299,False,False,True,31.19999695,284.4920044,264.4620514,11.7849884,1,28.602005,3,False,False,True,0,28.602005,para,3
TIME:,12,*Times New Roman-Bold-1298,True,False,True,31.19999695,255.8899994,37.78065491,11.16700745,1,28.602005,3,True,False,False,28.602005,29.27999878,para,6
ADDRESS:,12,*Times New Roman-Bold-1298,True,False,True,32.77980042,226.6100006,69.875,11.16699219,1,29.27999878,3,True,False,False,29.27999878,14.02700806,para,6
TOPJUMP,12,*Times New Roman-Bold-1298,True,False,True,131.514801,212.5829926,66.7348938,11.16700745,1,14.02700806,11,False,False,False,14.02700806,13.93598938,para,3
3735 PARKWAY,12,*Times New Roman-Bold-1298,True,False,True,114.7187958,198.6470032,101.5953827,11.16699219,1,13.93598938,9,False,False,False,13.93598938,14.01400757,para,7
"PIGEON FORGE, TN 37863",12,*Times New Roman-Bold-1298,True,False,True,81.45179749,184.6329956,167.8688965,11.16700745,1,14.01400757,7,False,False,False,14.01400757,11.23300171,para,4
(NEAR DIXIE STAMPEDE ON THE PARKWAY),12,*Arial-1304,False,False,True,58.32000732,173.3999939,212.6734161,9.120010376,1,11.23300171,5,False,False,False,11.23300171,26.19299316,para,2
RSVP: ---------------,12,*Times New Roman-1297,False,False,True,29.75999451,147.2070007,266.9096375,11.8500061,1,26.19299316,2,False,False,False,26.19299316,25.40699768,para,4
CLOSED TOED SHOES ARE REQUIRED FOR CLIMBING,12,*Arial-Bold-1303,True,False,True,62.16000366,121.8000031,204.4589539,6.779998779,1,25.40699768,5,False,False,False,25.40699768,34.32000732,para,5
"PARENTS OR GUARDIANS NOT ATTENDING THE PARTY, PLEASE VISIT (<http://TOPJUMP.COM>)TOPJUMP.COM TO FILL OUT WAIVER SO YOUR CHILD CAN ATTEND.",12,*Arial-Bold-1303,True,False,False,59.52000427,87.47999573,209.4797821,24.90000916,1,34.32000732,5,False,False,False,34.32000732,51.36999512,para,4
WWW. TOPJUMP.COM,12,*Times New Roman-1295,False,False,True,93.6000061,36.11000061,146.9616394,17.94000244,1,51.36999512,8,False,False,False,51.36999512,36.11000061,para,3
T R-A M P O L I N E P A R K D,12,*Times New Roman-Bold-1302,True,False,True,0,0,326.1593933,686.1551361,1,36.11000061,0,False,False,False,36.11000061,0,para,4
FOR: ---------------,12,*Times New Roman-1297,False,False,True,0,0,326.1593933,686.1551361,1,0,0,False,False,False,0,0,para,2
HOPE TO SEE YOU THERE!,12,*Times New Roman-Bold-1296,True,False,True,0,0,326.1593933,686.1551361,1,0,0,False,False,False,0,0,H1,4
